,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop
USA,107085763.0,,1164967.0,,105158714.0,,762082.0,1046.0,319845.0,3480.0,1180255735.0,3525201.0,334805269.0,North America,,32870.0,
India,44989744.0,,531864.0,,44452908.0,,4972.0,,31984.0,378.0,930164804.0,661271.0,1406631776.0,Asia,,3126452.0,
France,40079891.0,2284.0,167263.0,,39854686.0,759.0,57942.0,869.0,611118.0,2550.0,271490188.0,4139547.0,65584518.0,Europe,,23920.0,35.0
Germany,38426308.0,,174247.0,,38234900.0,300.0,17161.0,,458091.0,2077.0,122332384.0,1458359.0,83883596.0,Europe,,24811.0,
Brazil,37579028.0,,702664.0,,36249161.0,,627203.0,,174499.0,3263.0,63776166.0,296146.0,215353593.0,South America,,63063.0,
Japan,33803572.0,,74694.0,,,,,83.0,269169.0,595.0,100414883.0,799578.0,125584838.0,Asia,,416811.0,
S. Korea,31646973.0,,34754.0,,31296358.0,23518.0,315861.0,176.0,616541.0,677.0,15804065.0,307892.0,51329899.0,Asia,,214773.0,
Italy,25857572.0,,190392.0,,25545397.0,,121783.0,75.0,429080.0,3159.0,272596017.0,4523456.0,60262770.0,Europe,,23170.0,
UK,24603076.0,,225324.0,,24363967.0,1388.0,13785.0,,359180.0,3290.0,522526476.0,7628357.0,68497907.0,Europe,,33040.0,
Russia,22917873.0,,398919.0,,22346830.0,,172124.0,,157181.0,2736.0,273400000.0,1875095.0,145805947.0,Europe,,63661.0,
Turkey,17232066.0,,102174.0,,,,,,201399.0,1194.0,162743369.0,1902052.0,85561976.0,Asia,,58371.0,
Spain,13868227.0,,121213.0,,13697426.0,,49588.0,231.0,296843.0,2595.0,471036328.0,10082298.0,46719142.0,Europe,,33850.0,
Vietnam,11609878.0,341.0,43206.0,,10637523.0,187.0,929149.0,22.0,117327.0,437.0,85826548.0,867342.0,98953541.0,Asia,,922901.0,3.0
Australia,11585286.0,,20879.0,,11526959.0,,37448.0,71.0,444412.0,801.0,81916639.0,3142326.0,26068792.0,Australia/Oceania,,212490.0,
Argentina,10054251.0,,130509.0,,9922301.0,,1441.0,363.0,218522.0,2837.0,35716069.0,776264.0,46010234.0,South America,,53531.0,
Mexico,7614771.0,,334107.0,,6861981.0,,418683.0,,57879.0,2540.0,20013810.0,152124.0,131562772.0,North America,,173947.0,
Iran,7611665.0,82.0,146255.0,2.0,7365752.0,139.0,99658.0,156.0,88484.0,1700.0,56644837.0,658486.0,86022837.0,Asia,,115882.0,1.0
Indonesia,6806288.0,283.0,161739.0,6.0,6631118.0,621.0,13431.0,,24384.0,579.0,114158919.0,408975.0,279134505.0,Asia,,4117262.0,1.0
Poland,6516744.0,9.0,119609.0,,5335940.0,,1061195.0,223.0,172676.0,3169.0,38732690.0,1026309.0,37739785.0,Europe,,63161.0,0.2
Colombia,6367600.0,,142748.0,,6188967.0,,35885.0,342.0,123612.0,2771.0,36951507.0,717327.0,51512762.0,South America,,83611.0,
Austria,6076578.0,134.0,22501.0,,6048207.0,180.0,5870.0,14.0,670208.0,2482.0,211273524.0,23302116.0,9066710.0,Europe,,14030.0,15.0
Greece,6059649.0,,36917.0,,6004923.0,2678.0,17809.0,115.0,587367.0,3578.0,102228365.0,9909078.0,10316637.0,Europe,,22790.0,
Portugal,5585859.0,,26701.0,,5554918.0,,4240.0,61.0,550843.0,2633.0,46120142.0,4548082.0,10140570.0,Europe,,23800.0,
Ukraine,5549708.0,,112315.0,,5426042.0,,11351.0,,128489.0,2600.0,32603805.0,754855.0,43192122.0,Europe,,83851.0,
Chile,5287342.0,54.0,64497.0,,5222666.0,85.0,179.0,33.0,274664.0,3350.0,49655336.0,2579472.0,19250195.0,South America,,42980.0,3.0
Malaysia,5094448.0,,37070.0,,5038256.0,,19122.0,36.0,153535.0,1117.0,68352292.0,2059978.0,33181072.0,Asia,,78950.0,
Israel,4825362.0,,12524.0,,4798473.0,,14365.0,21.0,517410.0,1343.0,41373364.0,4436346.0,9326000.0,Asia,,27450.0,
Belgium,4799107.0,,34336.0,,4759089.0,409.0,5682.0,43.0,411295.0,2943.0,37018657.0,3172590.0,11668278.0,Europe,,23400.0,
Thailand,4738988.0,,34053.0,,4692636.0,,12299.0,,67624.0,486.0,17270775.0,246450.0,70078203.0,Asia,,1520584.0,
Canada,4673256.0,,52359.0,,4588942.0,,31955.0,99.0,121736.0,1364.0,66343123.0,1728207.0,38388419.0,North America,,87331.0,
Czechia,4642003.0,8.0,42800.0,,4598363.0,54.0,840.0,1.0,432346.0,3986.0,57210088.0,5328419.0,10736784.0,Europe,,22510.0,0.7
Switzerland,4405433.0,,14452.0,,4387986.0,,2995.0,39.0,502122.0,1647.0,23833472.0,2716487.0,8773637.0,Europe,,26070.0,
Philippines,4139295.0,1855.0,66466.0,,4056827.0,2049.0,16002.0,162.0,36791.0,591.0,35236578.0,313189.0,112508994.0,Asia,,2716933.0,16.0
South Africa,4076463.0,,102595.0,,3912506.0,,61362.0,192.0,67095.0,1689.0,26795090.0,441027.0,60756135.0,Africa,,155922.0,
Romania,3402356.0,,68172.0,,3329193.0,,4991.0,90.0,178777.0,3582.0,27242332.0,1431446.0,19031335.0,Europe,,62791.0,
Denmark,3181827.0,19.0,8692.0,4.0,3172644.0,28.0,491.0,8.0,545305.0,1490.0,129285359.0,22157064.0,5834950.0,Europe,,26710.0,3.0
Hong Kong,2903894.0,471.0,13809.0,17.0,2874238.0,260.0,15847.0,28.0,381875.0,1816.0,76127725.0,10011143.0,7604299.0,Asia,,35510.0,62.0
Sweden,2709830.0,,24353.0,,2682514.0,163.0,2963.0,8.0,265176.0,2383.0,19500873.0,1908301.0,10218971.0,Europe,,44201.0,
Serbia,2541321.0,73.0,18051.0,,2519819.0,289.0,3451.0,6.0,293692.0,2086.0,12918104.0,1492902.0,8653016.0,Europe,,34791.0,8.0
Iraq,2465545.0,,25375.0,,2439497.0,,673.0,21.0,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia,,1716622.0,
Singapore,2391248.0,,1727.0,,2149583.0,,239938.0,2.0,402327.0,291.0,24756666.0,4165302.0,5943546.0,Asia,,234420.0,
New Zealand,2362225.0,,4346.0,,2346101.0,,11778.0,,482264.0,887.0,7768604.0,1586011.0,4898203.0,Australia/Oceania,,211271.0,
Hungary,2202716.0,,48868.0,,2151299.0,,2549.0,5.0,229300.0,5087.0,11394556.0,1186160.0,9606259.0,Europe,,41971.0,
Bangladesh,2038708.0,,29446.0,,1998448.0,,10814.0,,12143.0,175.0,15254399.0,90862.0,167885689.0,Asia,,82570111.0,
Slovakia,1866814.0,,21167.0,,1845480.0,,167.0,11.0,341895.0,3877.0,7431619.0,1361054.0,5460193.0,Europe,,32581.0,
Georgia,1842046.0,,17070.0,,1776548.0,,48428.0,,464139.0,4301.0,16920079.0,4263340.0,3968738.0,Asia,,22320.0,
Jordan,1746997.0,,14122.0,,1731007.0,,1868.0,59.0,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia,,67291.0,
Ireland,1712113.0,,8960.0,,1701342.0,,1811.0,19.0,341045.0,1785.0,13083449.0,2606161.0,5020199.0,Europe,,35600.0,
Pakistan,1580995.0,,30660.0,,1538689.0,,11646.0,7.0,6889.0,134.0,30571377.0,133215.0,229488994.0,Asia,,14574858.0,
Norway,1484448.0,,5435.0,,1478019.0,,994.0,20.0,269343.0,986.0,11002430.0,1996315.0,5511370.0,Europe,,410141.0,
Finland,1479608.0,,9676.0,,1465886.0,373.0,4046.0,21.0,266358.0,1742.0,12101220.0,2178453.0,5554960.0,Europe,,45740.0,
Kazakhstan,1411831.0,,13848.0,,1383020.0,,14963.0,24.0,73514.0,721.0,11575012.0,602707.0,19205043.0,Asia,,1413872.0,
Slovenia,1343954.0,11.0,7100.0,,1328006.0,,8848.0,8.0,646743.0,3417.0,2847701.0,1370382.0,2078034.0,Europe,,22931.0,5.0
Lithuania,1320307.0,8.0,9680.0,,1309308.0,9.0,1319.0,2.0,496038.0,3637.0,10451067.0,3926451.0,2661708.0,Europe,,22750.0,3.0
Bulgaria,1307251.0,,38379.0,,1266932.0,,1940.0,34.0,190990.0,5607.0,11229672.0,1640662.0,6844597.0,Europe,,51781.0,
Morocco,1274180.0,,16297.0,,1256151.0,,1732.0,3.0,33733.0,431.0,13001033.0,344191.0,37772756.0,Africa,,3023183.0,
Croatia,1273671.0,,18246.0,,1255129.0,,296.0,6.0,313767.0,4495.0,5599458.0,1379419.0,4059286.0,Europe,,32221.0,
Guatemala,1252138.0,,20200.0,,1229793.0,,2145.0,5.0,67377.0,1087.0,7325793.0,394198.0,18584039.0,North America,,159203.0,
Lebanon,1237556.0,,10914.0,,1087587.0,,139055.0,74.0,185128.0,1633.0,4795578.0,717380.0,6684849.0,Asia,,56131.0,
Costa Rica,1230552.0,,9366.0,,860711.0,,360475.0,52.0,237450.0,1807.0,4659757.0,899158.0,5182354.0,North America,,45531.0,
Bolivia,1198858.0,,22384.0,,1168071.0,,8403.0,220.0,99966.0,1866.0,2710261.0,225993.0,11992656.0,South America,,105364.0,
Tunisia,1153261.0,,29415.0,,,,,44.0,95733.0,2442.0,5012458.0,416087.0,12046656.0,Africa,,104102.0,
Cuba,1114127.0,37.0,8530.0,,1105390.0,38.0,207.0,2.0,98546.0,754.0,14345279.0,1268859.0,11305652.0,North America,,1013251.0,3.0
UAE,1067030.0,,2349.0,,1054525.0,,10156.0,,105837.0,233.0,200732262.0,19910389.0,10081785.0,Asia,,942920.0,
Ecuador,1061766.0,,36019.0,,1025081.0,,666.0,759.0,58618.0,1989.0,3082403.0,170173.0,18113361.0,South America,,175036.0,
Uruguay,1038774.0,,7634.0,,1030944.0,,196.0,18.0,297131.0,2184.0,6114822.0,1749083.0,3496016.0,South America,,34581.0,
Panama,1038642.0,,8623.0,,1029434.0,,585.0,16.0,233562.0,1939.0,7680683.0,1727175.0,4446964.0,North America,,45161.0,
Mongolia,1008655.0,,2179.0,,1005859.0,,617.0,192.0,298588.0,645.0,4030048.0,1193000.0,3378078.0,Asia,,315501.0,
Nepal,1003327.0,2.0,12031.0,,991263.0,4.0,33.0,,33195.0,398.0,6044920.0,199994.0,30225582.0,Asia,,3025125.0,0.07
Belarus,994037.0,,7118.0,,985592.0,,1327.0,,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe,,913251.0,
Latvia,977891.0,,6344.0,,971406.0,,141.0,13.0,528922.0,3431.0,7875835.0,4259886.0,1848837.0,Europe,,22910.0,
Saudi Arabia,841469.0,,9646.0,,827923.0,,3900.0,66.0,23475.0,269.0,45481735.0,1268848.0,35844909.0,Asia,,4337161.0,
Azerbaijan,831812.0,,10273.0,,821451.0,,88.0,,80757.0,997.0,7617895.0,739587.0,10300205.0,Asia,,1210031.0,
Paraguay,810581.0,,19931.0,,,,,7.0,110950.0,2728.0,2657506.0,363751.0,7305843.0,South America,,93673.0,
Bahrain,721710.0,,1563.0,,719938.0,,209.0,2.0,404550.0,876.0,10850539.0,6082199.0,1783983.0,Asia,,211410.0,
Sri Lanka,672439.0,9.0,16870.0,,655514.0,9.0,55.0,,31166.0,782.0,6486117.0,300619.0,21575842.0,Asia,,3212793.0,0.4
Kuwait,665909.0,,2570.0,,660237.0,,3102.0,,152023.0,587.0,8455743.0,1930391.0,4380326.0,Asia,,717041.0,
Dominican Republic,661176.0,,4384.0,,644785.0,,12007.0,4.0,59800.0,397.0,3740928.0,338350.0,11056370.0,North America,,1725223.0,
Myanmar,638668.0,104.0,19494.0,,617621.0,74.0,1553.0,,11564.0,353.0,10623954.0,192368.0,55227143.0,Asia,,8628335.0,2.0
Palestine,621008.0,,5404.0,,615445.0,,159.0,17.0,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia,,99892.0,
Moldova,620519.0,,12118.0,,504142.0,,104259.0,49.0,154621.0,3020.0,3216305.0,801437.0,4013171.0,Europe,,63311.0,
Estonia,618782.0,,3001.0,,524990.0,,90791.0,2.0,468097.0,2270.0,3714801.0,2810177.0,1321910.0,Europe,,24400.0,
Venezuela,552695.0,,5856.0,,546537.0,,302.0,31.0,18885.0,200.0,3359014.0,114771.0,29266991.0,South America,,5349989.0,
Egypt,516023.0,,24613.0,,442182.0,,49228.0,122.0,4861.0,232.0,3693367.0,34792.0,106156692.0,Africa,,206431329.0,
Qatar,512936.0,,690.0,,511587.0,,659.0,33.0,172131.0,232.0,4065369.0,1364257.0,2979915.0,Asia,,643191.0,
Libya,507262.0,,6437.0,,500818.0,,7.0,,72047.0,914.0,2483848.0,352782.0,7040745.0,Africa,,1410943.0,
Ethiopia,500890.0,,7574.0,,488120.0,,5196.0,1.0,4146.0,63.0,5552276.0,45958.0,120812698.0,Africa,,2411595122.0,
Réunion,486588.0,,921.0,,418572.0,,67095.0,10.0,535854.0,1014.0,1603660.0,1766027.0,908061.0,Africa,,29861.0,
Honduras,472619.0,,11116.0,,,,,105.0,46239.0,1088.0,1660662.0,162472.0,10221247.0,North America,,229206.0,
Armenia,449169.0,,8750.0,,435162.0,,5257.0,,151135.0,2944.0,3242901.0,1091164.0,2971966.0,Asia,,73401.0,
Bosnia and Herzegovina,402940.0,,16346.0,,379084.0,,7510.0,,124008.0,5031.0,1884721.0,580036.0,3249317.0,Europe,,81992.0,
Oman,399449.0,,4628.0,,384669.0,,10152.0,2.0,75028.0,869.0,25000000.0,4695724.0,5323993.0,Asia,,1311500.0,
North Macedonia,348281.0,,9677.0,,337068.0,,1536.0,,167338.0,4649.0,2226216.0,1069626.0,2081304.0,Europe,,62151.0,
Zambia,343995.0,,4058.0,,339858.0,,79.0,,17668.0,208.0,4047915.0,207903.0,19470234.0,Africa,,5747985.0,
Kenya,343074.0,,5688.0,,337309.0,,77.0,1.0,6103.0,101.0,3967062.0,70569.0,56215221.0,Africa,,164988314.0,
Albania,334726.0,,3602.0,,329428.0,,1696.0,,116777.0,1257.0,1941032.0,677173.0,2866374.0,Europe,,97961.0,
Botswana,329862.0,,2801.0,,327049.0,,12.0,1.0,135125.0,1147.0,2026898.0,830300.0,2441162.0,Africa,,78721.0,
Luxembourg,319959.0,,1232.0,,316690.0,,2037.0,,498091.0,1918.0,4587145.0,7140959.0,642371.0,Europe,,25210.0,
Brunei ,303719.0,,225.0,,243601.0,,59893.0,3.0,681854.0,505.0,717784.0,1611437.0,445431.0,Asia,,119801.0,
Montenegro,291853.0,,2827.0,,288546.0,,480.0,6.0,464771.0,4502.0,2754754.0,4386900.0,627950.0,Europe,,22220.0,
Algeria,271835.0,,6881.0,,183046.0,1.0,81908.0,,5994.0,152.0,230960.0,5093.0,45350148.0,Africa,,1676591196.0,
